scores,layer,head
0.2516615,9,24
0.25161254,14,16
0.25148183,25,14
0.25131565,4,17
0.2511735,5,20
0.25115544,23,11
0.250935,7,10
0.25079235,14,7
0.2505497,15,18
0.2504992,4,9
0.25041494,12,7
0.25038052,15,16
0.25011837,8,23
0.2500343,12,5
0.250033,14,5
0.2500091,4,7
0.24993427,4,13
0.24989292,4,8
0.24981375,4,25
0.2497791,6,0
0.24967702,4,10
0.24951948,3,25
0.24930577,5,21
0.24897185,6,9
0.24872589,17,3
0.24871166,4,12
0.24858175,5,6
0.24843296,26,11
0.24792814,25,2
0.24739741,15,27
0.2473719,13,17
0.24732803,18,9
0.24718012,15,25
0.24674605,7,12
0.24595134,1,0
0.24590717,10,18
0.2454275,12,11
0.2448247,4,3
0.24462122,4,5
0.24416605,9,15
0.24410978,7,9
0.2439509,16,19
0.24327153,15,26
0.24283555,14,9
0.24207994,19,26
0.24189353,9,23
0.24168849,9,10
0.24111047,7,24
0.24106833,3,18
0.24092177,6,26
0.24076447,3,1
0.24040993,4,26
0.23963708,23,15
0.23915367,7,14
0.23870744,2,8
0.2378228,9,4
0.23747322,13,11
0.23621167,1,7
0.23613939,13,21
0.23437683,5,10
0.23401552,1,12
0.23352048,7,5
0.23330823,2,18
0.23291041,7,4
0.2324162,8,0
0.23211442,6,18
0.2319188,2,20
0.23161139,18,3
0.23157032,4,19
0.23105665,12,9
0.22961842,13,0
0.22957264,4,6
0.22926474,12,13
0.22888547,2,9
0.22819877,10,0
0.2281939,12,15
0.2272439,15,9
0.22622953,5,7
0.22584853,9,3
0.22552769,21,6
0.2246935,24,20
0.22454478,1,8
0.22093226,6,10
0.22039017,3,2
0.2195325,23,25
0.2192275,10,22
0.21908434,3,13
0.21844773,13,18
0.21765168,12,6
0.21749477,11,27
0.2174036,10,16
0.21735239,3,22
0.21703422,2,13
0.21657407,4,23
0.21554326,6,13
0.21532476,9,11
0.21458009,13,19
0.2145168,19,11
0.21386723,26,8
0.21357289,2,12
0.21331672,9,20
0.2130448,10,15
0.21222986,3,12
0.21210448,10,6
0.2119695,9,1
0.21185419,23,20
0.21179026,19,6
0.21069603,11,24
0.21050791,25,18
0.2104278,6,2
0.20928349,12,14
0.20675828,21,1
0.20672889,7,27
0.20596404,2,27
0.20583221,2,2
0.20538865,2,1
0.20520099,1,13
0.20414256,21,0
0.20300758,6,23
0.20243664,24,16
0.20227776,26,23
0.20148438,1,9
0.20131744,0,11
0.20109347,12,20
0.1991402,10,11
0.19810732,0,16
0.19555762,15,8
0.19463491,21,15
0.19403443,9,22
0.19400845,1,2
0.19388047,2,3
0.1935295,2,14
0.1913418,8,11
0.19127512,2,19
0.19114554,9,12
0.1905385,13,13
0.19029118,11,6
0.18844251,16,26
0.18777448,2,6
0.18550317,1,26
0.18524003,3,23
0.18369138,9,7
0.18220875,24,14
0.18148166,14,26
0.17788544,6,1
0.1754376,10,14
0.17449164,8,6
0.16861062,1,5
0.16807486,2,0
0.16710532,11,1
0.16667467,7,7
0.16420116,3,3
0.16398944,1,10
0.16099676,1,6
0.15953517,6,6
0.1587997,3,0
0.1587782,11,22
0.15591535,9,13
0.15519355,27,8
0.14879219,11,16
0.14857693,15,23
0.14780243,10,24
0.14398813,21,23
0.14275159,20,2
0.14265257,14,20
0.13903446,0,18
0.13737904,25,4
0.13661414,1,11
0.1359603,0,17
0.1303907,3,10
0.12804654,1,14
0.1269222,0,22
0.12664182,0,13
0.12583438,4,18
0.12389609,7,20
0.12104829,27,9
0.12093673,26,21
0.11986287,3,19
0.11940329,10,1
0.11873549,15,11
0.1165324,12,26
0.11651391,2,4
0.11461735,1,19
0.11380991,1,1
0.11344342,17,4
0.112996385,0,9
0.1126182,0,7
0.11099917,18,17
0.11004312,13,2
0.109203205,9,27
0.10780074,25,20
0.105483375,3,8
0.10463202,18,0
0.10095615,1,18
0.09658806,23,10
0.09428756,24,0
0.08936867,0,6
0.08912674,12,0
0.08530381,19,4
0.084789984,0,8
0.08168229,3,11
0.080678254,26,22
0.07770246,18,25
0.072857715,24,18
0.066486366,0,0
0.06331447,14,25
0.06305007,0,2
0.057006054,0,20
0.056539115,1,15
0.05331923,0,3
0.049847353,9,5
0.030763507,1,23
0.024240598,9,16
0.021913778,27,7
0.020495974,0,21
0.0018762765,27,12
0.0014514197,27,11
0.0007907334,0,10
5.412623e-08,18,7
1.5508437e-08,19,0
5.044818e-11,0,15
7.3336384e-14,27,10
5.835859e-15,27,13
