scores,layer,head
0.46280622,38,7
0.46252176,41,3
0.46243644,5,11
0.46161094,38,8
0.46134022,29,15
0.46128947,39,7
0.4609592,24,6
0.4607503,41,9
0.46044084,40,8
0.46010336,40,6
0.45902368,17,11
0.45747843,18,8
0.45741382,17,5
0.45723218,41,2
0.45657519,5,8
0.45598733,11,8
0.45591217,17,1
0.45576537,22,5
0.455427,23,2
0.45473647,36,11
0.45438948,24,12
0.4542636,41,8
0.4541769,41,10
0.45316812,27,11
0.45264208,26,5
0.45208162,35,15
0.451177,13,5
0.45031673,24,15
0.4486654,19,8
0.4484171,19,9
0.447913,33,13
0.44709912,22,12
0.44695893,26,2
0.4455287,25,15
0.44533226,18,3
0.44404054,5,2
0.4440045,24,1
0.44296378,40,0
0.44295478,24,7
0.44282553,31,1
0.44251356,14,14
0.44044504,31,7
0.43990597,41,13
0.43928605,21,7
0.43834406,26,3
0.4369814,24,0
0.43668213,36,3
0.4333349,21,9
0.4329765,18,7
0.4320139,25,2
0.4315432,8,9
0.43094617,21,4
0.4296093,21,13
0.42948693,25,8
0.4294799,22,4
0.4285899,31,6
0.42857632,0,4
0.42789012,12,5
0.42778516,37,7
0.42752266,33,6
0.42663857,25,9
0.42600223,22,1
0.4259519,28,15
0.42561483,36,14
0.42543477,23,6
0.42394084,36,4
0.4239245,23,3
0.4237388,21,5
0.42363876,10,0
0.422,37,15
0.42182308,19,4
0.421683,12,8
0.42124313,19,0
0.42109433,27,5
0.42050937,38,14
0.42013916,41,15
0.41954127,20,5
0.4181896,25,10
0.41810465,0,2
0.41806152,41,7
0.4170878,26,9
0.41658074,21,12
0.41649756,38,4
0.41607276,24,5
0.41597208,17,12
0.41498086,2,8
0.4142111,19,11
0.41404638,25,6
0.4139535,16,1
0.41367593,37,13
0.41335627,18,15
0.4104467,25,4
0.40795925,30,14
0.40779507,23,15
0.40752074,22,6
0.40476713,34,8
0.4032163,0,1
0.40265426,12,10
0.4010941,23,14
0.40102217,23,9
0.4009777,19,5
0.39638102,18,2
0.39569825,19,10
0.39561152,3,10
0.3955691,20,4
0.39472142,32,10
0.39427873,33,12
0.39322543,5,15
0.3929789,12,11
0.39195293,27,8
0.39162552,39,11
0.3907147,19,7
0.3902354,17,4
0.3876862,38,0
0.38575113,40,7
0.38461223,25,5
0.38274267,22,2
0.3820988,33,5
0.37638113,39,1
0.37612963,20,2
0.37573686,41,4
0.37515646,40,2
0.37498355,1,15
0.3749667,23,8
0.37404582,37,8
0.37177628,23,11
0.36942723,18,14
0.36915857,0,13
0.3685431,29,12
0.36836445,22,7
0.3629038,23,13
0.35814002,23,5
0.3562015,22,3
0.35575253,3,8
0.35219833,41,6
0.3515336,25,14
0.34983724,23,12
0.34929684,19,2
0.34860662,40,11
0.3470778,25,3
0.346813,21,6
0.34669125,17,7
0.3464451,41,11
0.34433326,36,15
0.34356064,25,11
0.34292972,15,9
0.3406995,26,8
0.3396061,22,0
0.3395334,25,0
0.33571273,21,10
0.33264354,2,10
0.32995132,22,13
0.3287474,29,4
0.3282751,0,3
0.32673404,39,12
0.32437712,4,9
0.32419702,27,14
0.32004383,21,8
0.31939945,31,14
0.3089894,30,7
0.30819514,21,15
0.30786064,8,5
0.3070976,27,1
0.30171847,22,9
0.30064017,38,15
0.30028042,24,13
0.29817158,39,3
0.29607522,21,14
0.29586256,10,14
0.29377884,22,15
0.2888401,15,7
0.2883006,19,1
0.2863385,22,14
0.2861504,20,11
0.2849932,38,5
0.28434,39,6
0.28199482,24,3
0.2818567,19,14
0.28129956,21,11
0.2788956,16,12
0.26993006,41,5
0.26942626,20,3
0.26915762,19,15
0.26880136,19,13
0.26856753,16,13
0.26539955,23,1
0.26229703,26,10
0.26067388,3,12
0.26043525,6,13
0.2603761,22,8
0.2571048,20,1
0.25371888,24,2
0.25208867,17,10
0.24936593,19,3
0.24890003,17,3
0.24790283,2,15
0.24734442,16,4
0.24691215,18,1
0.24634859,37,5
0.24305497,8,1
0.2427561,15,8
0.24164332,20,10
0.24132635,24,4
0.23756003,16,8
0.23544906,13,3
0.23353389,20,0
0.23177165,18,0
0.2302112,19,12
0.22700924,12,1
0.22452267,24,9
0.22387695,7,12
0.21916042,18,13
0.20780529,24,11
0.20470406,27,10
0.20376025,15,12
0.20363195,0,8
0.20352596,14,10
0.20166132,13,6
0.19395752,0,0
0.18723877,23,0
0.17901821,4,12
0.17483512,21,1
0.1732296,23,10
0.1614027,4,1
0.15425436,15,1
0.15123124,11,5
